38.776, 60.65
38.916, 60.65
39.057, 60.65
39.199, 60.649
39.34, 60.648
39.481, 60.647
39.623, 60.646
39.765, 60.644
39.907, 60.642
40.05, 60.64
40.193, 60.638
40.337, 60.635
40.481, 60.632
40.625, 60.629
40.771, 60.625
40.917, 60.622
41.064, 60.618
41.212, 60.614
41.361, 60.609
41.51, 60.604
41.661, 60.599
41.813, 60.594
41.966, 60.588
42.121, 60.582
42.277, 60.575
42.435, 60.569
42.594, 60.562
42.755, 60.554
42.918, 60.546
43.083, 60.538
43.25, 60.529
43.42, 60.52
43.592, 60.511
43.767, 60.501
43.945, 60.491
44.126, 60.48
44.311, 60.468
44.5, 60.456
44.693, 60.443
44.891, 60.43
45.094, 60.416
45.303, 60.401
45.518, 60.386
45.741, 60.369
45.972, 60.352
46.212, 60.333
46.464, 60.313
46.728, 60.291
47.009, 60.268
47.308, 60.243
47.632, 60.215
47.989, 60.183
48.391, 60.147
48.865, 60.103
49.475, 60.046
50.677, 59.931
51.323, 59.869
52.525, 59.754
53.135, 59.697
53.609, 59.653
54.011, 59.617
54.368, 59.585
54.692, 59.557
54.991, 59.532
55.272, 59.509
55.536, 59.487
55.788, 59.467
56.028, 59.448
56.259, 59.431
56.482, 59.414
56.697, 59.399
56.906, 59.384
57.109, 59.37
57.307, 59.357
57.5, 59.344
57.689, 59.332
57.874, 59.32
58.055, 59.309
58.233, 59.299
58.408, 59.289
58.58, 59.28
58.75, 59.271
58.917, 59.262
59.082, 59.254
59.245, 59.246
59.406, 59.238
59.565, 59.231
59.723, 59.225
59.879, 59.218
60.034, 59.212
60.187, 59.206
60.339, 59.201
60.49, 59.196
60.639, 59.191
60.788, 59.186
60.936, 59.182
61.083, 59.178
61.229, 59.175
61.375, 59.171
61.519, 59.168
61.663, 59.165
61.807, 59.162
61.95, 59.16
62.093, 59.158
62.235, 59.156
62.377, 59.154
62.519, 59.153
62.66, 59.152
62.801, 59.151
62.943, 59.15
63.084, 59.15
63.224, 59.15
